Question Stem,Correct1,Incorrect1,Incorrect 2,Incorrect 3,Category1,Category2,Category3,Category4,,
What is the most specific cutaneous finding in a patient with Behçet syndrome?,Sterile pustule following a needle prick,Aphthous-like ulcers,Lupus pernio,Erythema nodosum-like lesions,Allergies/Immunologic,,,,,
Scarring adhesions causing ocular damage in patients with cicatricial pemphigold are called,Symblepharon,Bitot spots,Interstitial keratitis,Keratoconus,Allergies/Immunologic,Dermatologic,,,,
Behçet syndrome and cyclic neutropenia are examples of systemic disorders associated with recurrent aphthous stomatitis/ulceration,TRUE,FALSE,,,Allergies/Immunologic,Heme Path,,,,
Deep aphthous ulceration that heal in 2 to 6 weeks with possible scarring are ,Major aphthae,Herpetiform aphthae,Minor aphthae,Clusterform aphthae,Allergies/Immunologic,,,,,
"Lupus pernio, erythema nodosum, xerostomia, and uveitis are features of ",Sarcoidosis,Behçet syndrome,Angioedema,Perioral dermatitis,Allergies/Immunologic,,,,,
A positive pathergy test can be seen in which of the following diseases?,Behçet disease,Orofacial granulomatosis,Sarcoidosis,Angioedema,Allergies/Immunologic,,,,,
The most characteristic oral finding of Wegener’s granulomatosis is ,Strawberry gingivitis,Orange peel radiographic appearance of maxillary bone,Gingival epulis,Erosion of palatal bone,Allergies/Immunologic,,,,,
"When present, which of the following confirms a diagnosis of Wegener’s granulomatosis?",c-ANCA,p-ANCA,Necrotizing vasculitis ,Chest and sinus involvement noted on radiographs ,Allergies/Immunologic,,,,,
"Because of the aggressive nature of Wegener’s granulomatosis, the death rate approaches 80% even with treatment.",FALSE,TRUE,,,Allergies/Immunologic,,,,,
The most common complaint of patients with allergic contact stomatitis is ,Burning sensation,Dry mouth,Erythematous gingiva,Mucosal edema,Allergies/Immunologic,,,,,
The oral manifestations of contact stomatitis due to cinnamon flavorings can mimic oral carcinoma or oral hairy leukoplakia. ,TRUE,FALSE,,,Allergies/Immunologic,,,,,
The usual cause of angioedema is ,Mast cell degeneration,Chronic obstructive pulmonary disease,Hypertension,Venous non-compliance ,Allergies/Immunologic,,,,,
Angioedema encountered by oral health care practitioners is most often seen in those ,Who are long term users of ACE inhibitors,With grossly elevated peripheral blood eosinophil counts,Following a lymphoproliferative disorder ,With abundant Cl,Allergies/Immunologic,,,,,
A presumptive diagnosis of Behçet syndrome can be accomplished through which of the following methods?,A skin pathergy test,HLA subtyping,Polymerase chain testing,Flow cytometry ,Allergies/Immunologic,,,,,
A hallmark of sarcoidosis is ,Non-caseating granulomatous inflammation,Caseating granulomatous inflammation,Night sweats,Cervical lymphadenopathy,Allergies/Immunologic,,,,,
A positive “pathergy” test is unique for,Behçet syndrome ,Wegner granulomatosis,Heerfordt syndrome,Sarcoidosis ,Allergies/Immunologic,,,,,
All of the following systemic conditions may have associated aphthous-like ulcers EXCEPT which one of the following?,Anemia,Inflammatory Bowel Disease,HIV Infection ,Behçet Syndrome ,Allergies/Immunologic,,,,,
A multisystem granulomatous disorder with clinical features of keratoconjunctivitis sicca and xerostomia is,Sarcoidosis,Behçet syndrome ,Reiter syndrome,Crohn disease,Allergies/Immunologic,Salivary,,,,
Non-tender persistent enlargement of the lip is characteristic of ,Cheilitis granulomatosa,Angioedema,Cheilitis glandularis,Actinic cheilitis ,Allergies/Immunologic,,,,,
"Enlargement of one of several fungiform papillae that appear red, yellow, or eroded describes ",Transient lingual papillitis,Mycosis fungoides ,Villous papillitis,Fungiform papilloma,Allergies/Immunologic,,,,,
"A deep, 1 to 3 cm diameter ulceration that takes 2 to 6 weeks to heal describes",Major aphthae,Traumatic ulcer,Minor aphthae,Eosinophilic ulcer,Allergies/Immunologic,,,,,
Lupus pernio and erythema nodosum are terms used to describe the skin lesions of,Sarcoidosis,Lupus erythematosus,Melkersson-Rosenthal syndrome,Behçet syndrome,Allergies/Immunologic,Dermatologic,,,,
Allergic contact stomatitis is also referred to as,Stomatitis venenata,Stomatitis medicamentosa,Erythema multiforme,Migratory mucositis,Allergies/Immunologic,,,,,
Ocular inflammation and orogenital ulceration are features of,Behçet syndrome,Orofacial granulomatosis,Major aphthae,Melkersson-Rosenthal syndrome,Allergies/Immunologic,,,,,
"A gingival reaction to mint, cinnamonaldehyde, and certain herbal toothpastes is",Plasma cell gingivitis,Granulomatous gingivitis,Ulcerative mucositis,,Allergies/Immunologic,,,,,
Angiotensin‐ converting enzyme (ACE) inhibitors could be associated with which of the following conditions?,Lichenoid Mucositis ,Contact stomatitis,Contact dermatitis,Lichen Planus,Allergies/Immunologic,,,,,
Which of the following medications you should consider for the management of Behçet Syndrome?,Anti-TNF alpha medications ,Topical lidocaine,Anti-INF gamma medications,Topical benzocaine ,Allergies/Immunologic,,,,,
All of the following conditions are associated with granulomatous inflammation EXCEPT which of the following?,Behçet syndrome,Crohn disease,Sarcoidosis,Wegener granulomatosis (polyangiitis granulomatosis),Allergies/Immunologic,,,,,
The MOST common cause of a contact reaction to amalgam is,Mercury allergy,Silver allergy,Copper allergy,Zinc allergy,Allergies/Immunologic,,,,,
